sl,year,statename,pcname,candidate,sex,party,total,overpolled,votesv,electors,polled,pollperc,rank,win,alliance
5455,1991,MAHARASHTRA,BHANDARA,DESHKAR SUKRAM MUKA,M,IND,1083,0.19%,,869165,567394,65.28%,13,0,OTHERS
5456,1991,MAHARASHTRA,BHANDARA,NAGARKAR PRABHAKAR BHIWAJI,M,IND,803,0.14%,,869165,567394,65.28%,14,0,OTHERS
5457,1991,MAHARASHTRA,BHANDARA,RAHANGDALE KHADAKSINGH MAHADEO,M,IND,765,0.14%,,869165,567394,65.28%,15,0,OTHERS
5458,1991,MAHARASHTRA,BHANDARA,BANTE BABANRAO BALAJI,M,IND,677,0.12%,,869165,567394,65.28%,16,0,OTHERS
5459,1991,MAHARASHTRA,BHANDARA,SELOKAR SURYAKANT TIKARAMJI,M,IND,428,0.08%,,869165,567394,65.28%,17,0,OTHERS
5460,1991,MAHARASHTRA,BHANDARA,MAMASAHEB ALIAS MADANLALJI JODHARAMJI HIRANWAR,M,IND,306,0.05%,,869165,567394,65.28%,18,0,OTHERS
5461,1991,MAHARASHTRA,BHANDARA,WALTHARE DHANU BHIKAJI,M,IND,287,0.05%,,869165,567394,65.28%,19,0,OTHERS
5464,1991,MAHARASHTRA,CHIMUR,MUTTEMWAR VILAS BABURAO,M,INC,238272,40.58%,,924966,596859,64.53%,1,1,INC
5465,1991,MAHARASHTRA,CHIMUR,SHIWANKAR MAHADEORAO SUKAJI,M,BJP,190263,32.40%,,924966,596859,64.53%,2,0,BJP
5466,1991,MAHARASHTRA,CHIMUR,RAJAGADKAR NETAJI TANBAJI,M,JD,126020,21.46%,,924966,596859,64.53%,3,0,OTHERS
5467,1991,MAHARASHTRA,CHIMUR,NAKADE KESHAORAO TUKARAMJI,M,IND,5352,0.91%,,924966,596859,64.53%,4,0,OTHERS
5473,1991,MAHARASHTRA,CHIMUR,BRAHMANKAR GOVINDRAO KRUSHNAJI,M,BSP,4936,0.84%,,1003307,699598,69.73%,5,0,OTHERS
5474,1991,MAHARASHTRA,CHIMUR,KHOBRAGADE CHARANDAS PUNDALIK,M,IND,4350,0.74%,,1003307,699598,69.73%,6,0,OTHERS
5475,1991,MAHARASHTRA,CHIMUR,BEHARE DEO PANDHARI,M,IND,2875,0.49%,,1003307,699598,69.73%,7,0,OTHERS
5476,1991,MAHARASHTRA,CHIMUR,NAKTODE BHIWAJI TULSHIRAM,M,IND,2647,0.45%,,1003307,699598,69.73%,8,0,OTHERS
5477,1991,MAHARASHTRA,CHIMUR,MEHSRAM CHARANDAS JAGALUIJI,M,IND,1859,0.32%,,1003307,699598,69.73%,9,0,OTHERS
5478,1991,MAHARASHTRA,CHIMUR,DUFARE DADAJI JAIRAM,M,IND,1725,0.29%,,924966,596859,64.53%,10,0,OTHERS
5479,1991,MAHARASHTRA,CHIMUR,KEWAT MAHADEO MANIRAM,M,IND,1628,0.28%,,924966,596859,64.53%,11,0,OTHERS
5480,1991,MAHARASHTRA,CHIMUR,KHADE KALYAN BHADUJI,M,IND,1489,0.25%,,924966,596859,64.53%,12,0,OTHERS
5481,1991,MAHARASHTRA,CHIMUR,WANKAR MAROTRAO DONUJI,M,IND,1130,0.19%,,924966,596859,64.53%,13,0,OTHERS
5482,1991,MAHARASHTRA,CHIMUR,KHUNE SHALIKRAM PANDURANG,M,IND,1100,0.19%,,924966,596859,64.53%,14,0,OTHERS
5483,1991,MAHARASHTRA,CHIMUR,RAMTEKE HANSARAJ YESHWANT,M,IND,851,0.14%,,924966,596859,64.53%,15,0,OTHERS
5484,1991,MAHARASHTRA,CHIMUR,SAWARKAR SHEKHAR DOMAJI,M,IND,668,0.11%,,924966,596859,64.53%,16,0,OTHERS
5485,1991,MAHARASHTRA,CHIMUR,DONGARE MANIKRAO GANPAT,M,IND,594,0.10%,,924966,596859,64.53%,17,0,OTHERS
5486,1991,MAHARASHTRA,CHIMUR,RAMTEKE HARISCHANDRA SADASHIORAO,M,RPK,526,0.09%,,924966,596859,64.53%,18,0,OTHERS
5487,1991,MAHARASHTRA,CHIMUR,KALE DAMODHAR LAXMANRAO,M,IND,413,0.07%,,924966,596859,64.53%,19,0,OTHERS
5488,1991,MAHARASHTRA,CHIMUR,SURYAWANSHI SHANIDEO DAJIBA,M,IND,296,0.05%,,924966,596859,64.53%,20,0,OTHERS
5489,1991,MAHARASHTRA,CHIMUR,SONEKUSARE DAMAYANTIBAI MAHADEORAO (W),F,IND,165,0.03%,,924966,596859,64.53%,21,0,OTHERS
5492,1991,MAHARASHTRA,CHANDRAPUR,POTDUKHE SHANTARAM,M,INC,212948,41.93%,,1017275,518574,50.98%,1,1,INC
5493,1991,MAHARASHTRA,CHANDRAPUR,TEMURDE MORESHWAR VITHALRAO,M,JD,125251,24.66%,,1017275,518574,50.98%,2,0,OTHERS
5494,1991,MAHARASHTRA,CHANDRAPUR,SUDHIR SACCHIDANAND MUNGANTIWAR,M,BJP,123122,24.24%,,1017275,518574,50.98%,3,0,BJP
5495,1991,MAHARASHTRA,CHANDRAPUR,RAGE VISHVESHVAR RAO ATRAM,M,BRP,22479,4.43%,,994872,726792,73.05%,4,0,OTHERS
5496,1991,MAHARASHTRA,CHANDRAPUR,NAGPURE SAKHARAM KOLHUJI,M,BSP,6258,1.23%,,994872,726792,73.05%,5,0,OTHERS
5497,1991,MAHARASHTRA,CHANDRAPUR,TALANDI BAPU BONDA,M,IND,4931,0.97%,,994872,726792,73.05%,6,0,OTHERS
5498,1991,MAHARASHTRA,CHANDRAPUR,SHIRGEWAR VEERA LACHMA,M,DDP,3022,0.59%,,994872,726792,73.05%,7,0,OTHERS
5499,1991,MAHARASHTRA,CHANDRAPUR,KEDARI RAVINDRA WILLIAM,M,IND,2306,0.45%,,994872,726792,73.05%,8,0,OTHERS
5500,1991,MAHARASHTRA,CHANDRAPUR,BHAVSAR JESHTHAGAURI KESHAVBHAI (W),F,IND,1552,0.31%,,1017275,518574,50.98%,9,0,OTHERS
5501,1991,MAHARASHTRA,CHANDRAPUR,KHOBRAGADE SHIVRAJ KHUJAJI,M,IND,1445,0.28%,,1017275,518574,50.98%,10,0,OTHERS
5502,1991,MAHARASHTRA,CHANDRAPUR,BHAGWAN BANSILAL PATIL,M,JP,1368,0.27%,,1017275,518574,50.98%,11,0,OTHERS
5503,1991,MAHARASHTRA,CHANDRAPUR,JAIRAM MUNIYEN PALLIKODTAR,M,IND,1325,0.26%,,1017275,518574,50.98%,12,0,OTHERS
5504,1991,MAHARASHTRA,CHANDRAPUR,PANDURANG JAYARAMJI BURELE,M,IND,783,0.15%,,1017275,518574,50.98%,13,0,OTHERS
5505,1991,MAHARASHTRA,CHANDRAPUR,MADIWAR CHANDU MASTER,M,IND,521,0.10%,,1017275,518574,50.98%,14,0,OTHERS
5506,1991,MAHARASHTRA,CHANDRAPUR,SHAMRAO VISHNU KHOBRAGADE,M,IND,406,0.08%,,1017275,518574,50.98%,15,0,OTHERS
5507,1991,MAHARASHTRA,CHANDRAPUR,SHALIKRAM CHINTAMAN BONDRE,M,IND,199,0.04%,,1017275,518574,50.98%,16,0,OTHERS
5510,1991,MAHARASHTRA,WARDHA,GHANGARE RAMCHANDRA MAROTRAO,M,CPM,182436,40.81%,,930617,458272,49.24%,1,1,OTHERS
5511,1991,MAHARASHTRA,WARDHA,SHATHE VASANT PURUSHOTTAM,M,INC,158906,35.55%,,930617,458272,49.24%,2,0,INC
5512,1991,MAHARASHTRA,WARDHA,ADSAD ARUNBHAU JANARDAN,M,BJP,67100,15.01%,,930617,458272,49.24%,3,0,BJP
5513,1991,MAHARASHTRA,WARDHA,UBALE SHRIKRUSHNA CHAMPATRAO,M,BSP,18958,4.24%,,930617,458272,49.24%,4,0,OTHERS
5514,1991,MAHARASHTRA,WARDHA,AGLAWE VIJAY NAGORAO,M,IND,5541,1.24%,,930617,458272,49.24%,5,0,OTHERS
5515,1991,MAHARASHTRA,WARDHA,KHADSE SHRIRANG SHAMRAO,M,IND,3123,0.70%,,930617,458272,49.24%,6,0,OTHERS
5516,1991,MAHARASHTRA,WARDHA,GURNULE RAMDAS MAROTRA,M,DDP,1658,0.37%,,930617,458272,49.24%,7,0,OTHERS
5517,1991,MAHARASHTRA,WARDHA,UKE SHESHRAO NAMDEO,M,IND,1513,0.34%,,930617,458272,49.24%,8,0,OTHERS
5518,1991,MAHARASHTRA,WARDHA,KOHALE ARUN GANPATRAO,M,IND,1448,0.32%,,930617,458272,49.24%,9,0,OTHERS
5519,1991,MAHARASHTRA,WARDHA,KALE VISHWASRAO BAPURAOJI,M,IND,1048,0.23%,,930617,458272,49.24%,10,0,OTHERS
5520,1991,MAHARASHTRA,WARDHA,RANGARE BHAGWAN HARIBHAU,M,IND,1025,0.23%,,930617,458272,49.24%,11,0,OTHERS
5521,1991,MAHARASHTRA,WARDHA,CHIDAM NARAYANRAO RAMAJI,M,IND,850,0.19%,,930617,458272,49.24%,12,0,OTHERS
5522,1991,MAHARASHTRA,WARDHA,HENDWE BABARAO UDEBHAN,M,IND,694,0.16%,,930617,458272,49.24%,13,0,OTHERS
5528,1991,MAHARASHTRA,WARDHA,MADAVI MAHADEORAO DHONDBAJI,M,IND,652,0.15%,,930617,458272,49.24%,14,0,OTHERS
5529,1991,MAHARASHTRA,WARDHA,YADAORAO BUDHAJI TEMBHURNE,M,RPK,609,0.14%,,930617,458272,49.24%,15,0,OTHERS
5530,1991,MAHARASHTRA,WARDHA,RAMTEKE PRAKASH BAKHARAM,M,IND,485,0.11%,,930617,458272,49.24%,16,0,OTHERS
5531,1991,MAHARASHTRA,WARDHA,SHEIKH WAJIRBHAI SHEIKH UMARSAHAB,M,IND,469,0.10%,,930617,458272,49.24%,17,0,OTHERS
5532,1991,MAHARASHTRA,WARDHA,SUDHAKAR BALAJI DANGAT,M,IND,274,0.06%,,930617,458272,49.24%,18,0,OTHERS
5533,1991,MAHARASHTRA,WARDHA,NANALAL MAGANLAL MANDVIYA,M,IND,258,0.06%,,930617,458272,49.24%,19,0,OTHERS
5536,1991,MAHARASHTRA,YAVATMAL,UTTAMRAO DEORAO PATIL,M,INC,187861,43.91%,,896047,433792,48.41%,1,1,INC
5537,1991,MAHARASHTRA,YAVATMAL,OLE PATIL NARAYAN SITARAM,M,JD,116931,27.33%,,896047,433792,48.41%,2,0,OTHERS
5538,1991,MAHARASHTRA,YAVATMAL,RAJENDRA ALIAS RAJABHAU GANESHRAO THAKRE,M,BJP,92064,21.52%,,896047,433792,48.41%,3,0,BJP
5539,1991,MAHARASHTRA,YAVATMAL,DHOTE JAMBUWANTRAO BAPURAOJI,M,JP,5704,1.33%,,896047,433792,48.41%,4,0,OTHERS
5540,1991,MAHARASHTRA,YAVATMAL,DASHRATH PANDURANG MADAVI,M,BSP,4079,0.95%,,896047,433792,48.41%,5,0,OTHERS
5541,1991,MAHARASHTRA,YAVATMAL,CHANDRAKANT KATTATRAYA RUIKAR,M,IND,3765,0.88%,,896047,433792,48.41%,6,0,OTHERS
5542,1991,MAHARASHTRA,YAVATMAL,MANDALE DAMODAR BHIMAJI,M,IND,2298,0.54%,,896047,433792,48.41%,7,0,OTHERS
5543,1991,MAHARASHTRA,YAVATMAL,YADAO RAMKRISHNA LOMATE,M,DDP,2264,0.53%,,896047,433792,48.41%,8,0,OTHERS
5544,1991,MAHARASHTRA,YAVATMAL,BUCHAKE GOVINDRAO PUNJAJI,M,IND,1873,0.44%,,896047,433792,48.41%,9,0,OTHERS
5545,1991,MAHARASHTRA,YAVATMAL,GANESH NARAYAN CHAVHAN,M,IND,1747,0.41%,,896047,433792,48.41%,10,0,OTHERS
5546,1991,MAHARASHTRA,YAVATMAL,TIWARI RAJKISHOR MATASARAN,M,LKD,1722,0.40%,,896047,433792,48.41%,11,0,OTHERS
5547,1991,MAHARASHTRA,YAVATMAL,NEWARE RAMKRISHNA DAMAJI,M,IND,1430,0.33%,,896047,433792,48.41%,12,0,OTHERS
5548,1991,MAHARASHTRA,YAVATMAL,CHAWHAN MOHANSINGH TIKARAM,M,IND,1219,0.28%,,896047,433792,48.41%,13,0,OTHERS
5549,1991,MAHARASHTRA,YAVATMAL,KHANDEDIYA NAVINCHANDRA MOHANLAL,M,IND,976,0.23%,,896047,433792,48.41%,14,0,OTHERS
5550,1991,MAHARASHTRA,YAVATMAL,MOHADE GULAB BAPURAO,M,IND,638,0.15%,,896047,433792,48.41%,15,0,OTHERS
5551,1991,MAHARASHTRA,YAVATMAL,GEDEKAR PREMANAND KARUJI,M,IND,620,0.14%,,896047,433792,48.41%,16,0,OTHERS
5552,1991,MAHARASHTRA,YAVATMAL,AHIR JAINARAYAN BHAIRAVPRASAD,M,IND,475,0.11%,,896047,433792,48.41%,17,0,OTHERS
5553,1991,MAHARASHTRA,YAVATMAL,BABARAO DUDHARAM CHAVHAN,M,IND,431,0.10%,,896047,433792,48.41%,18,0,OTHERS
5554,1991,MAHARASHTRA,YAVATMAL,RAJGADKAR BAPURAO SOMAJI,M,IND,316,0.07%,,896047,433792,48.41%,19,0,OTHERS
5555,1991,MAHARASHTRA,YAVATMAL,PRALHAD KRISHNARAO REBHE,M,IND,313,0.07%,,896047,433792,48.41%,20,0,OTHERS
5556,1991,MAHARASHTRA,YAVATMAL,PRAKASH RAMRAO GANDALE,M,IND,260,0.06%,,896047,433792,48.41%,21,0,OTHERS
5557,1991,MAHARASHTRA,YAVATMAL,PANJABRAO MAHADEORAO SAWAIMUL,M,IND,257,0.06%,,896047,433792,48.41%,22,0,OTHERS
5558,1991,MAHARASHTRA,YAVATMAL,REKHA GULABRAO SAVASAKADE (W),F,IND,251,0.06%,,896047,433792,48.41%,23,0,OTHERS
5559,1991,MAHARASHTRA,YAVATMAL,YEDSIKAR VIMAL W/O ANANTA (W),F,IND,187,0.04%,,896047,433792,48.41%,24,0,OTHERS
5560,1991,MAHARASHTRA,YAVATMAL,PANDE SHRIRAM GUNAJI,M,IND,110,0.03%,,896047,433792,48.41%,25,0,OTHERS
5561,1991,MAHARASHTRA,YAVATMAL,SHAILENDRA NARENDRA TAYADE,M,IND,82,0.02%,,896047,433792,48.41%,26,0,OTHERS
5564,1991,MAHARASHTRA,HINGOLI,GUNDEWAR VILASRAO NAGNATHRAO,M,SHS,145800,32.41%,,942014,459907,48.82%,1,1,OTHERS
5565,1991,MAHARASHTRA,HINGOLI,UTTAM RATHOD,M,INC,142007,31.57%,,942014,459907,48.82%,2,0,INC
5566,1991,MAHARASHTRA,HINGOLI,DB PAWAR,M,JD,138123,30.70%,,942014,459907,48.82%,3,0,OTHERS
5567,1991,MAHARASHTRA,HINGOLI,PATIL PANDURANGRAO DAJIBARAO,M,IND,5324,1.18%,,942014,459907,48.82%,4,0,OTHERS
5568,1991,MAHARASHTRA,HINGOLI,CHIRMADE MADHUKAR TULSHIRAM,M,DDP,5010,1.11%,,919440,627037,68.20%,5,0,OTHERS
5569,1991,MAHARASHTRA,HINGOLI,CS BAHETI,M,ICS(SCS),3776,0.84%,,919440,627037,68.20%,6,0,OTHERS
5570,1991,MAHARASHTRA,HINGOLI,PAWAR HARISHCHANDRA GOPICHANDRA,M,JP,2342,0.52%,,919440,627037,68.20%,7,0,OTHERS
5571,1991,MAHARASHTRA,HINGOLI,BHARAT BHUSHAN MAHIKULAL KURIL,M,BSP,2124,0.47%,,919440,627037,68.20%,8,0,OTHERS
5572,1991,MAHARASHTRA,HINGOLI,RAUT SAHEBRAO GANPAT,M,IND,1778,0.40%,,919440,627037,68.20%,9,0,OTHERS
5573,1991,MAHARASHTRA,HINGOLI,KANHAYALAL INDULAL MAHESHWARI,M,IND,1403,0.31%,,942014,459907,48.82%,10,0,OTHERS
5574,1991,MAHARASHTRA,HINGOLI,DEBAJI PRALHADRAO ASHRUJI,M,IND,1115,0.25%,,942014,459907,48.82%,11,0,OTHERS
5575,1991,MAHARASHTRA,HINGOLI,ARUN RAMCHANDRA CHAVAN,M,IND,704,0.16%,,942014,459907,48.82%,12,0,OTHERS
5576,1991,MAHARASHTRA,HINGOLI,PADGHAN GANESH KISAN,M,IND,339,0.08%,,942014,459907,48.82%,13,0,OTHERS
5584,1991,MAHARASHTRA,NANDED,SURYAKANTS PATIL (W),F,INC,251021,51.07%,,1082908,500142,46.19%,1,1,INC
5585,1991,MAHARASHTRA,NANDED,DR DESHMUKH,M,SHS,118659,24.14%,,1082908,500142,46.19%,2,0,OTHERS
5586,1991,MAHARASHTRA,NANDED,KABDE VENKATESH,M,JD,81052,16.49%,,1082908,500142,46.19%,3,0,OTHERS
5587,1991,MAHARASHTRA,NANDED,GIRI BALAJI GANPATGIR,M,IND,13762,2.80%,,1082908,500142,46.19%,4,0,OTHERS
5588,1991,MAHARASHTRA,NANDED,GOVINDRAO BARHALIKAR,M,BSP,7067,1.44%,,1082908,500142,46.19%,5,0,OTHERS
5589,1991,MAHARASHTRA,NANDED,DEVANAND RAMRAO KHEDKAR,M,IND,2713,0.55%,,1082908,500142,46.19%,6,0,OTHERS
5590,1991,MAHARASHTRA,NANDED,BELGE TRYAMBAK GANGARAM,M,IND,2491,0.51%,,1082908,500142,46.19%,7,0,OTHERS
5591,1991,MAHARASHTRA,NANDED,SIDHARTHA RAWAN KAMBLE,M,IND,2022,0.41%,,1082908,500142,46.19%,8,0,OTHERS
5592,1991,MAHARASHTRA,NANDED,PATIL VIRBHADRA RAM,M,IND,1912,0.39%,,1082908,500142,46.19%,9,0,OTHERS
5593,1991,MAHARASHTRA,NANDED,ATHAR HUSSAIN MOHD HUSSAIN,M,IND,1597,0.32%,,1082908,500142,46.19%,10,0,OTHERS
5594,1991,MAHARASHTRA,NANDED,PATIL PITAMBER TANKOO,M,DDP,1571,0.32%,,1082908,500142,46.19%,11,0,OTHERS
5595,1991,MAHARASHTRA,NANDED,KENDRE VISHWAMBHAR MAROTI,M,IND,1270,0.26%,,1082908,500142,46.19%,12,0,OTHERS
5596,1991,MAHARASHTRA,NANDED,GULABRAO NARSINGH RATHOD,M,IND,1184,0.24%,,1082908,500142,46.19%,13,0,OTHERS
5597,1991,MAHARASHTRA,NANDED,HARISHCHANDRA PAWAR,M,IND,1090,0.22%,,1082908,500142,46.19%,14,0,OTHERS
5598,1991,MAHARASHTRA,NANDED,KASNALE SANJAY BANDAPPA,M,IND,1050,0.21%,,1082908,500142,46.19%,15,0,OTHERS
5599,1991,MAHARASHTRA,NANDED,ANANT KISHAN MAMDE,M,IND,1001,0.20%,,1082908,500142,46.19%,16,0,OTHERS
5600,1991,MAHARASHTRA,NANDED,BHAGWAN SANTRAM DESHMUKH,M,IND,733,0.15%,,1082908,500142,46.19%,17,0,OTHERS
5601,1991,MAHARASHTRA,NANDED,WAGHMARE RAMRAO PANDURANG,M,IND,719,0.15%,,1082908,500142,46.19%,18,0,OTHERS
5602,1991,MAHARASHTRA,NANDED,GORE VIJAYKUMAR NARAYANRAO,M,IND,451,0.09%,,1082908,500142,46.19%,19,0,OTHERS
5603,1991,MAHARASHTRA,NANDED,SK HUSSAINSAB BABANSAB,M,IND,167,0.03%,,1082908,500142,46.19%,20,0,OTHERS
5606,1991,MAHARASHTRA,PARBHANI,DESHMUKH ASHOKRAO ANANDRAO,M,SHS,143293,32.95%,,959377,444485,46.33%,1,1,OTHERS
5607,1991,MAHARASHTRA,PARBHANI,BANGAR PRATAP GANPATRAO,M,JD,123132,28.31%,,959377,444485,46.33%,2,0,OTHERS
5608,1991,MAHARASHTRA,PARBHANI,BHAMBALE MANIKRAO KESHAVRAO,M,INC,118209,27.18%,,959377,444485,46.33%,3,0,INC
5609,1991,MAHARASHTRA,PARBHANI,HAKE MUKUND SHANKARRAO,M,PWP,14671,3.37%,,959377,444485,46.33%,4,0,OTHERS
5610,1991,MAHARASHTRA,PARBHANI,KECHALE GANGADHAR LAXMAN,M,IND,9090,2.09%,,959377,444485,46.33%,5,0,OTHERS
5611,1991,MAHARASHTRA,PARBHANI,JADHAV RAMRAO RAJARAMJI,M,JP,5371,1.24%,,959377,444485,46.33%,6,0,OTHERS
5612,1991,MAHARASHTRA,PARBHANI,GAIKWAD BHUJANGRAO SITARAM,M,BSP,4108,0.94%,,959377,444485,46.33%,7,0,OTHERS
5613,1991,MAHARASHTRA,PARBHANI,S NAZIR S AMIR,M,IND,3225,0.74%,,959377,444485,46.33%,8,0,OTHERS
5614,1991,MAHARASHTRA,PARBHANI,KALE UTTAM PIRAJI,M,IND,3178,0.73%,,959377,444485,46.33%,9,0,OTHERS
5615,1991,MAHARASHTRA,PARBHANI,AMBURE DEVICHAND DIGAMBERRAO,M,IND,2285,0.53%,,959377,444485,46.33%,10,0,OTHERS
5616,1991,MAHARASHTRA,PARBHANI,POUL SAHEBRAO MAROTARAO,M,IND,1690,0.39%,,959377,444485,46.33%,11,0,OTHERS
5617,1991,MAHARASHTRA,PARBHANI,JADHAV VITHAL RANGNATH,M,IND,896,0.21%,,959377,444485,46.33%,12,0,OTHERS
5618,1991,MAHARASHTRA,PARBHANI,KATKADE SHIVAJI SAMBHAJI,M,IND,884,0.20%,,959377,444485,46.33%,13,0,OTHERS
5619,1991,MAHARASHTRA,PARBHANI,BHARADE PRAKASH KISHANRAO,M,IND,721,0.17%,,959377,444485,46.33%,14,0,OTHERS
5620,1991,MAHARASHTRA,PARBHANI,MAKBUL BAIG BUDHAN BAIG,M,IND,685,0.16%,,959377,444485,46.33%,15,0,OTHERS
5621,1991,MAHARASHTRA,PARBHANI,UPHADE KISHAN LAXMAN,M,IND,641,0.15%,,959377,444485,46.33%,16,0,OTHERS
5622,1991,MAHARASHTRA,PARBHANI,NARKHADE RAMKRISHNA PUNDALIK,M,DDP,551,0.13%,,959377,444485,46.33%,17,0,OTHERS
5623,1991,MAHARASHTRA,PARBHANI,SHINDE BABASAHEB UTTAMRAO,M,IND,523,0.12%,,959377,444485,46.33%,18,0,OTHERS
5624,1991,MAHARASHTRA,PARBHANI,MOHITE SULABAI ASARAM (W),F,IND,516,0.12%,,959377,444485,46.33%,19,0,OTHERS
5625,1991,MAHARASHTRA,PARBHANI,PANCHANGE BAPURAO RAGHOJI,M,IND,394,0.09%,,959377,444485,46.33%,20,0,OTHERS
5626,1991,MAHARASHTRA,PARBHANI,AMBHORE ASHOK BABRAO,M,IND,354,0.08%,,959377,444485,46.33%,21,0,OTHERS
5627,1991,MAHARASHTRA,PARBHANI,ABDUL RASHEED CHIMANJI,M,IND,296,0.07%,,959377,444485,46.33%,22,0,OTHERS
5628,1991,MAHARASHTRA,PARBHANI,MOHAMMAD AKBAR SHAIKH AHEMAD,M,IND,177,0.04%,,959377,444485,46.33%,23,0,OTHERS
5636,1991,MAHARASHTRA,JALNA,ANKUSHRAO TOPE,M,INC,257837,48.50%,,1013928,546349,53.88%,1,1,INC
5637,1991,MAHARASHTRA,JALNA,PUNDLIK HARI,M,BJP,189630,35.67%,,1013928,546349,53.88%,2,0,BJP
5638,1991,MAHARASHTRA,JALNA,GHARE PATAPRAO RAMRAO,M,JD,57844,10.88%,,1013928,546349,53.88%,3,0,OTHERS
5639,1991,MAHARASHTRA,JALNA,KHARAT NARAYAN GANPATRAO,M,DDP,4981,0.94%,,1013928,546349,53.88%,4,0,OTHERS
5640,1991,MAHARASHTRA,JALNA,VAISHNAV RAMDAS ALLIAS (SWAMI PRAJAPATI),M,IND,4358,0.82%,,1013928,546349,53.88%,5,0,OTHERS
5642,1991,MAHARASHTRA,JALNA,KHARAT MADHUKAR NATHUJI,M,IND,4071,0.77%,,1013928,546349,53.88%,6,0,OTHERS
5643,1991,MAHARASHTRA,JALNA,MUNDHE INDERRAO HIRAMAN,M,JP,3898,0.73%,,1013928,546349,53.88%,7,0,OTHERS
5644,1991,MAHARASHTRA,JALNA,RAMCHANDRA KONDIRAM TRIBHUVAN,M,BSP,2855,0.54%,,1013928,546349,53.88%,8,0,OTHERS
5645,1991,MAHARASHTRA,JALNA,SHINDE BABASAHEB UTTAMRAO,M,IND,2719,0.51%,,1013928,546349,53.88%,9,0,OTHERS
5646,1991,MAHARASHTRA,JALNA,AMRUTLAL LAXMAN BHUREWALE,M,IND,1429,0.27%,,1013928,546349,53.88%,10,0,OTHERS
5647,1991,MAHARASHTRA,JALNA,KANDEKAR ROHIDAS HIRAMAN,M,IND,793,0.15%,,1013928,546349,53.88%,11,0,OTHERS
5648,1991,MAHARASHTRA,JALNA,BEDRE GANESH BABASAHEB,M,IND,701,0.13%,,1013928,546349,53.88%,12,0,OTHERS
5649,1991,MAHARASHTRA,JALNA,AJHER AHEMAD GULAM RASOOL,M,IND,322,0.06%,,1013928,546349,53.88%,13,0,OTHERS
5650,1991,MAHARASHTRA,JALNA,HONDE NARAYAN GOVINDRAO,M,IND,238,0.04%,,1013928,546349,53.88%,14,0,OTHERS
5653,1991,MAHARASHTRA,AURANGABAD,MORESHWAR SAVE,M,SHS,235859,41.38%,,1205538,583145,48.37%,1,1,OTHERS
5654,1991,MAHARASHTRA,AURANGABAD,ZAKERIA RAFIC,M,JD,153440,26.92%,,1205538,583145,48.37%,2,0,OTHERS
5655,1991,MAHARASHTRA,AURANGABAD,DESHMUKH MOHAN,M,INC,145555,25.54%,,1205538,583145,48.37%,3,0,INC
5656,1991,MAHARASHTRA,AURANGABAD,JADHAV BANDU PATIL,M,IND,14883,2.61%,,1205538,583145,48.37%,4,0,OTHERS
5657,1991,MAHARASHTRA,AURANGABAD,BU GOSAVI,M,IND,3755,0.66%,,978604,494615,50.54%,5,0,OTHERS
5658,1991,MAHARASHTRA,AURANGABAD,PREMCHAND TIWARI,M,IND,2294,0.40%,,978604,494615,50.54%,6,0,OTHERS
5659,1991,MAHARASHTRA,AURANGABAD,KOLI DHANRAJ BHABUT,M,DDP,2242,0.39%,,978604,494615,50.54%,7,0,OTHERS
5660,1991,MAHARASHTRA,AURANGABAD,RP NATH,M,BSP,2022,0.35%,,978604,494615,50.54%,8,0,OTHERS
5661,1991,MAHARASHTRA,AURANGABAD,JAPE SHASHIKANT RAGHUNATH,M,IND,1407,0.25%,,978604,494615,50.54%,9,0,OTHERS
5662,1991,MAHARASHTRA,AURANGABAD,T DATTARAO,M,IND,1145,0.20%,,1205538,583145,48.37%,10,0,OTHERS
5663,1991,MAHARASHTRA,AURANGABAD,DAUD SK MEHMUD,M,IND,1061,0.19%,,1205538,583145,48.37%,11,0,OTHERS
5664,1991,MAHARASHTRA,AURANGABAD,ABDUL HAKIM SHAIKH MAHEBUB,M,LKD,878,0.15%,,1205538,583145,48.37%,12,0,OTHERS
5665,1991,MAHARASHTRA,AURANGABAD,CHANDLAL HIRALAL RAJPUT,M,IND,783,0.14%,,1205538,583145,48.37%,13,0,OTHERS
5666,1991,MAHARASHTRA,AURANGABAD,LACHHUSETH BHARUKA CHAPANERWALE,M,IND,770,0.14%,,1205538,583145,48.37%,14,0,OTHERS
5667,1991,MAHARASHTRA,AURANGABAD,PREMDAS GANPAT KOTKER,M,IND,676,0.12%,,1205538,583145,48.37%,15,0,OTHERS
5668,1991,MAHARASHTRA,AURANGABAD,MAHBUB ILAHIKHAN ALIAS DILIPKUMAR,M,IND,675,0.12%,,1205538,583145,48.37%,16,0,OTHERS
5669,1991,MAHARASHTRA,AURANGABAD,MAMDEO DAGDU PAGARE,M,IND,667,0.12%,,1205538,583145,48.37%,17,0,OTHERS
5670,1991,MAHARASHTRA,AURANGABAD,TAYADE WACHHALABAI NAMDEO (W),F,IND,551,0.10%,,1205538,583145,48.37%,18,0,OTHERS
5671,1991,MAHARASHTRA,AURANGABAD,SHAIKH SADEEK,M,IND,471,0.08%,,1205538,583145,48.37%,19,0,OTHERS
5672,1991,MAHARASHTRA,AURANGABAD,KATARIYA HANSRAJ DWARKANATH,M,IND,439,0.08%,,1205538,583145,48.37%,20,0,OTHERS
